isNewFeature,isNewStory,isTechDebt,isResearch,isDebugging,isCoding,isTesting,isDeployment,isDotnet,isNodejs,isReact,isSql,isTerraform,isAWS,Days
0,0,0,1,0,0,0,0,0,0,0,1,0,0,17
0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
0,0,1,0,0,1,1,1,1,0,0,0,0,0,7
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,0,0,10
0,0,1,1,0,0,0,0,0,0,0,1,0,0,7
1,0,1,1,0,1,0,1,0,1,0,0,0,0,10
0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
0,0,1,0,0,1,0,1,1,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,0,0,0,6
0,0,1,1,0,1,0,1,1,1,0,0,0,1,5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1,0,1,0,0,1,1,1,1,0,0,0,0,0,5
1,0,1,0,0,1,1,1,1,0,0,0,0,0,9
1,0,1,0,0,1,1,1,1,0,0,0,0,0,10
0,0,1,0,0,1,0,0,0,0,0,0,0,1,10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,1,1,1,1,0,0,0,0,5
0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
1,0,0,0,0,1,0,1,0,0,1,0,0,0,2
1,0,0,0,0,1,1,1,0,0,1,0,0,0,2
0,1,0,0,0,0,0,1,1,0,0,0,0,0,4
0,1,1,0,0,1,1,1,1,0,0,0,0,0,5
0,1,0,1,0,0,1,0,0,0,0,0,0,0,3
0,0,0,0,1,1,1,1,1,0,0,0,0,0,12
0,0,1,0,0,0,1,1,1,0,0,0,0,0,2
0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
1,0,0,0,0,1,1,1,1,1,0,0,0,0,1.75
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75
0,1,0,1,0,0,1,0,0,1,0,0,0,0,5
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1.5
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
0,1,0,1,0,1,1,1,0,0,0,0,0,1,7.5
1,0,0,1,0,1,1,1,0,1,0,0,0,0,5.5
0,0,1,0,1,1,1,1,1,0,0,0,0,0,1.5
0,0,1,0,0,1,1,1,1,0,0,0,0,0,0.25
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0,1,11.5
0,0,0,0,0,0,1,0,1,1,0,0,0,0,6.25
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
1,0,0,0,0,1,1,1,1,1,0,0,0,0,5
0,1,1,0,0,1,1,1,0,1,0,0,1,1,9.5
0,1,0,0,0,1,1,1,0,1,0,0,0,0,3.5
1,0,0,1,0,1,1,1,1,0,0,0,0,0,4.5
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1.25
1,0,0,1,0,1,1,1,1,0,0,0,0,0,4.5
